,episode steps,episode reward,accuracy
912,78458,-98.0,98.84
913,78547,-12.0,98.84
914,78560,-88.0,98.84
915,78728,67.0,98.84
916,78816,-13.0,98.84
917,78820,-97.0,98.84
918,78870,-51.0,98.83
919,78871,-100.0,98.83
920,78875,-97.0,98.83
921,78876,-100.0,98.83
922,78896,-81.0,98.83
923,78968,-29.0,98.83
924,78969,-100.0,98.83
925,78970,-100.0,98.83
926,79229,158.0,98.83
927,79337,7.0,98.83
928,79408,-30.0,98.83
929,79413,-96.0,98.83
930,79510,-4.0,98.83
931,79536,-75.0,98.83
932,79537,-100.0,98.83
933,79807,169.0,98.83
934,80002,94.0,98.83
935,80003,-100.0,98.83
936,80046,-58.0,98.83
937,80253,106.0,98.83
938,80459,105.0,98.83
939,80460,-100.0,98.83
940,80525,-36.0,98.83
941,80970,344.0,98.84
942,81030,-41.0,98.84
943,81089,-42.0,98.84
944,81096,-94.0,98.83
945,81098,-99.0,98.83
946,81100,-99.0,98.83
947,81116,-85.0,98.83
948,81120,-97.0,98.83
949,81127,-94.0,98.83
950,81386,158.0,98.83
951,81835,348.0,98.84
952,81848,-88.0,98.84
953,81869,-80.0,98.83
954,81978,8.0,98.84
955,82072,-7.0,98.84
956,82151,-22.0,98.84
957,82152,-100.0,98.83
958,82470,217.0,98.84
959,82888,317.0,98.84
960,82897,-92.0,98.84
961,82924,-74.0,98.84
962,82936,-89.0,98.84
963,82953,-84.0,98.84
964,82954,-100.0,98.84
965,82984,-71.0,98.84
966,82990,-95.0,98.83
967,83025,-66.0,98.83
968,83291,165.0,98.84
969,83305,-87.0,98.84
970,83582,176.0,98.84
971,83642,-41.0,98.84
972,83902,159.0,98.84
973,83956,-47.0,98.84
974,84058,1.0,98.84
975,84070,-89.0,98.84
976,84256,85.0,98.84
977,84259,-98.0,98.84
978,84267,-93.0,98.84
979,84269,-99.0,98.84
980,84270,-100.0,98.84
981,84623,252.0,98.84
982,84733,9.0,98.84
983,84738,-96.0,98.84
984,84787,-52.0,98.84
985,84977,89.0,98.84
986,85159,81.0,98.84
987,85367,107.0,98.84
988,85387,-81.0,98.84
989,85433,-55.0,98.84
990,85457,-77.0,98.84
