,step,episode reward,accuracy,100 eps mean,time
525,45724.0,66.0,98.75,149.1,5623.550000
526,46003.0,277.0,98.75,146.8,5657.880000
527,46117.0,112.0,98.76,147.5,5671.870000
528,46137.0,18.0,98.75,147.2,5674.410000
529,46473.0,334.0,98.76,149.9,5715.580000
530,46659.0,184.0,98.76,151.5,5738.520000
531,46951.0,290.0,98.77,153.1,5774.390000
532,47444.0,491.0,98.78,157.4,5835.030000
533,47467.0,21.0,98.78,157.2,5837.860000
534,47831.0,362.0,98.79,158.0,5882.540000
535,48027.0,194.0,98.79,159.4,5906.420000
536,48365.0,336.0,98.8,158.8,5948.030000
537,48468.0,101.0,98.8,159.1,5960.700000
538,48532.0,62.0,98.8,151.7,5968.530000
539,48593.0,59.0,98.8,152.0,5976.080000
540,48691.0,96.0,98.8,150.5,5988.250000
541,48747.0,54.0,98.79,146.8,5995.200000
542,48901.0,152.0,98.8,146.5,6014.280000
543,49033.0,130.0,98.8,147.6,6030.450000
544,49111.0,76.0,98.8,148.2,6040.120000
545,49165.0,52.0,98.8,147.6,6046.830000
546,49295.0,128.0,98.8,147.9,6062.710000
547,49335.0,38.0,98.8,147.8,6067.620000
548,49373.0,36.0,98.79,148.0,6072.320000
549,49390.0,15.0,98.79,146.4,6074.450000
550,49555.0,163.0,98.79,147.0,6094.850000
551,49579.0,22.0,98.79,146.4,6097.840000
552,49610.0,29.0,98.79,145.5,6101.670000
553,49764.0,152.0,98.79,146.8,6120.750000
554,49920.0,154.0,98.79,147.6,6139.890000
555,50002.0,80.0,98.79,147.8,6150.010000
556,50060.0,56.0,98.79,144.3,6157.160000
557,50071.0,9.0,98.79,144.3,6158.530000
558,50104.0,31.0,98.79,143.9,6162.550000
559,50169.0,63.0,98.79,143.4,6170.630000
560,50199.0,28.0,98.79,143.0,6174.320000
561,50218.0,17.0,98.79,143.1,6176.680000
562,50237.0,17.0,98.78,142.7,6179.010000
563,50273.0,34.0,98.78,140.8,6183.410000
564,50469.0,194.0,98.79,139.5,6207.650000
565,50493.0,22.0,98.78,136.7,6210.640000
